tweet_text,all_hashtags
"💥BRYCE KEPNER's new album ‘Certain Memories’💥 out on Jan 13, 2021 via 1374440 Records DK 🤟 Check it out @Bkep00 #nevertoolate #brandnewcom #singersongwriter #rock #indiepop #mesa https://t.co/B1NauYGAS6","['nevertoolate', 'brandnewcom', 'singersongwriter', 'rock', 'indiepop', 'mesa']"
"We have secured our 1st #sponsor. He's a #photographer that does amazing #photos for #musicbands, #musicbusinesses, and #musicorganizations. Starts on the 1st #PodcastEpisode in #March #rock #indierock #WisconsinMusicScene #WisconsinBusiness #WisconsinOrganizations https://t.co/aHGN2EuH22","['sponsor', 'photographer', 'photos', 'musicbands', 'musicbusinesses', 'musicorganizations', 'PodcastEpisode', 'March', 'rock', 'indierock', 'WisconsinMusicScene', 'WisconsinBusiness', 'WisconsinOrganizations']"
Pretenders - Tattooed Love Boys (2006 Remaster) https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
"📹 mariosolise: Richard Clifford “Dick” Taylor (born 28 January 1943) is an #musician, best known as the #guitarist and founding member of #rock #band The Pretty Things. Taylor was an early #bassist for the Rolling Stones,[1] but left the... https://t.co/MheOSiFey0","['musician', 'guitarist', 'rock', 'band', 'bassist']"
#NOWPLAYING Joe - Weed Sex Cig   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
"#NOWPLAYING :  Chris Brown  ft. Justin Bieber, Ink - Don't Check On Me     LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife","['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
RITUAL - Espionage via #PureSteel #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal https://t.co/SzkoqXmX7V plays the newest 21st Century #Premier #Metal,"['PureSteel', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier', 'Metal']"
Sleater-Kinney @Sleater_Kinney - LOVE [Explicit] https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
@royalblooduk release #Typhoons video #newmusic #rock #rocknews #musicnews #music #news @warnermusic @WarnerCanada @googlenews @yahoonews https://t.co/OmkfkkuWgm https://t.co/jyFlNU20KY,"['Typhoons', 'newmusic', 'rock', 'rocknews', 'musicnews', 'music', 'news']"
gemologist discovers #rock that looks like #Cookie monster  https://t.co/33kKA3J0o3,"['rock', 'Cookie']"
#NOWPLAYING Eminem - Space Bound   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
